Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-09-11,1343.949951171875,1392.0,1332.550048828125,1365.300048828125,153167,0.0,0
2020-09-14,1372.4000244140625,1425.6500244140625,1372.4000244140625,1397.9000244140625,187027,0.0,0
2020-09-15,1404.9000244140625,1429.9000244140625,1382.449951171875,1392.75,113450,0.0,0
2020-09-16,1401.0999755859375,1459.0,1391.25,1447.1500244140625,261662,0.0,0
2020-09-17,1439.1500244140625,1482.0,1414.050048828125,1424.4000244140625,241243,0.0,0
2020-09-18,1434.699951171875,1446.0,1380.5,1392.3499755859375,132448,0.0,0
2020-09-21,1398.9000244140625,1419.0,1342.800048828125,1352.3499755859375,124603,0.0,0
2020-09-22,1356.0,1368.800048828125,1305.0,1321.3499755859375,80444,0.0,0
2020-09-23,1323.1500244140625,1346.699951171875,1290.0,1333.8499755859375,90055,0.0,0
2020-09-24,1300.0999755859375,1323.449951171875,1248.050048828125,1257.449951171875,82074,0.0,0
2020-09-25,1269.800048828125,1308.699951171875,1262.199951171875,1300.300048828125,84307,0.0,0
2020-09-28,1314.699951171875,1326.800048828125,1298.0,1303.0999755859375,100811,0.0,0
2020-09-29,1314.9000244140625,1323.800048828125,1285.25,1296.5,83064,0.0,0
2020-09-30,1306.8499755859375,1320.0,1290.050048828125,1304.0,73520,0.0,0
2020-10-01,1315.0,1325.0,1304.1500244140625,1310.0,41425,0.0,0
2020-10-05,1319.0,1344.0,1311.949951171875,1327.5,81674,0.0,0
2020-10-06,1333.0,1370.0,1321.0,1336.050048828125,165908,0.0,0
2020-10-07,1342.8499755859375,1343.699951171875,1310.0,1317.6500244140625,51245,0.0,0
2020-10-08,1320.0,1327.949951171875,1280.5,1288.5999755859375,54419,0.0,0
2020-10-09,1291.0,1299.449951171875,1275.0,1280.0999755859375,29241,0.0,0
2020-10-12,1289.0,1294.6500244140625,1239.0,1249.1500244140625,48750,0.0,0
2020-10-13,1253.949951171875,1267.699951171875,1238.0,1246.6500244140625,37575,0.0,0
2020-10-14,1236.0,1271.0,1222.5,1247.25,48782,0.0,0
2020-10-15,1254.0,1268.050048828125,1220.0,1233.3499755859375,54242,0.0,0
2020-10-16,1234.050048828125,1259.0,1215.550048828125,1227.0999755859375,57029,0.0,0
2020-10-19,1233.25,1237.5999755859375,1212.800048828125,1218.9000244140625,37693,0.0,0
2020-10-20,1217.949951171875,1224.0,1202.4000244140625,1207.6500244140625,56077,0.0,0
2020-10-21,1214.800048828125,1219.949951171875,1172.050048828125,1188.800048828125,72190,0.0,0
2020-10-22,1185.0,1209.0,1182.8499755859375,1195.300048828125,48567,0.0,0
2020-10-23,1197.0,1211.0,1180.0,1184.9000244140625,32131,0.0,0
2020-10-26,1190.300048828125,1194.699951171875,1171.550048828125,1184.6500244140625,24234,0.0,0
2020-10-27,1190.0,1259.949951171875,1181.0,1230.25,223844,0.0,0
2020-10-28,1237.6500244140625,1242.0999755859375,1202.449951171875,1212.300048828125,48633,0.0,0
2020-10-29,1206.0,1219.800048828125,1185.699951171875,1199.050048828125,24152,0.0,0
2020-10-30,1210.949951171875,1248.949951171875,1192.300048828125,1211.1500244140625,67056,0.0,0
2020-11-02,1212.0,1222.0,1181.1500244140625,1189.449951171875,29811,0.0,0
2020-11-03,1198.6500244140625,1205.3499755859375,1177.1500244140625,1182.1500244140625,24333,0.0,0
2020-11-04,1183.0,1197.0,1181.949951171875,1190.3499755859375,18248,0.0,0
2020-11-05,1197.949951171875,1228.800048828125,1185.0999755859375,1218.800048828125,75765,0.0,0
2020-11-06,1218.800048828125,1249.949951171875,1216.300048828125,1234.8499755859375,62383,0.0,0
2020-11-09,1244.0,1248.699951171875,1230.199951171875,1240.75,45214,0.0,0
2020-11-10,1244.949951171875,1247.0,1216.050048828125,1223.949951171875,30620,0.0,0
2020-11-11,1225.949951171875,1234.449951171875,1200.0,1206.300048828125,50120,0.0,0
2020-11-12,1205.0,1279.4000244140625,1182.25,1263.1500244140625,123162,0.0,0
2020-11-13,1254.0,1275.449951171875,1228.550048828125,1256.6500244140625,97637,0.0,0
2020-11-17,1260.0,1290.0,1250.300048828125,1278.75,82061,0.0,0
2020-11-18,1288.0,1330.5999755859375,1285.0999755859375,1303.199951171875,149168,0.0,0
2020-11-19,1304.0,1332.0,1275.699951171875,1286.199951171875,102895,0.0,0
2020-11-20,1292.550048828125,1335.0,1289.550048828125,1328.050048828125,124640,0.0,0
2020-11-23,1335.0,1348.800048828125,1323.5,1329.9000244140625,91672,0.0,0
2020-11-24,1329.0,1356.300048828125,1310.0,1347.9000244140625,101476,0.0,0
2020-11-25,1357.0,1357.0,1268.0,1281.0,69740,0.0,0
2020-11-26,1284.0,1295.0,1256.0,1281.800048828125,63997,0.0,0
2020-11-27,1287.8499755859375,1340.0,1275.9000244140625,1319.75,259058,0.0,0
